text,label
"['proper', 'evidence', 'show', 'applicant', 'breach', 'order', 'regard', 'material']",PREMISE
"['due', 'proper', 'grant', 'protection', 'applicant', 'strict']",CONCLUSION
"['therefore', 'following', 'order']",CONCLUSION
"['case', 'prosecution', 'partnership', 'firm']",PREMISE
"['lodged', 'complaint', 'three', 'unknown', 'taking', 'undue', 'advantage', 'name', 'pan', 'made', 'false', 'forged', 'without', 'authority', 'sell', 'belonging', 'said', 'partnership', 'firm', 'sold', 'firm', 'raised', 'loan']",PREMISE
"['one', 'crore', 'accused', 'account', 'operative', 'transferred', 'loan', 'amount', 'various', 'bank', 'loan', 'amount', 'forgery', 'valuable', 'security']",PREMISE
"['lodged', 'complaint']",PREMISE
"['accordingly', 'came', 'registered']",PREMISE
"['accused', 'accused']",PREMISE
[],PREMISE
[],PREMISE
"['argument', 'stated', 'triable']",PREMISE
"['punishable', 'death', 'life', 'imprisonment']",PREMISE
[],PREMISE
"['wrongful', 'loss']",PREMISE
"['said', 'transaction']",PREMISE
"['concerned', 'bank', 'financial', 'institution', 'file', 'complaint']",PREMISE
"['transferred', 'account']",PREMISE
"['basis', 'inadmissible', 'confessional', 'statement', 'given', 'police', 'another', 'accused', 'suspicious']",PREMISE
['investigation'],PREMISE
"['detention', 'necessary']",PREMISE
"['may', 'bail']",CONCLUSION
"['strongly', 'opposed', 'application']",PREMISE
"['contention', 'accused', 'forgery', 'respect', 'valuable']",PREMISE
"['executed', 'sale', 'third', 'person', 'raised', 'loan']",PREMISE
"['search', 'taken', 'fact', 'revealed']",PREMISE
"['accused', 'present', 'pretended', 'owner', 'flat', 'time', 'execution', 'false', 'sale']",PREMISE
"['title', 'loan', 'raised']",PREMISE
"['accused', 'bank', 'account', 'operative', 'transferred', 'loan', 'amount', 'amount']",PREMISE
"['investigation', 'yet']",PREMISE
"['bail', 'possibility', 'prosecution', 'evidence']",PREMISE
[],CONCLUSION
['serious'],PREMISE
['cheating'],PREMISE
"['forged', 'valuable', 'executed']",PREMISE
"['forged', 'used', 'genuine', 'raising', 'loan', 'amount']",PREMISE
"['raising', 'loan', 'amount', 'huge', 'amount', 'transferred', 'various']",PREMISE
"['amount', 'yet']",PREMISE
"['investigation', 'yet']",PREMISE
"['juncture', 'applicant', 'bail', 'investigation', 'hamper', 'possibility', 'prosecution']",CONCLUSION
"['pass', 'following', 'order']",CONCLUSION
"['victim', 'aged', 'lodged', 'report', 'applicant', 'husband', 'sister']",PREMISE
"['alone', 'house']",PREMISE
"['mother', 'sister', 'went', 'applicant', 'came', 'house', 'hot', 'water', 'bathing', 'gave']",PREMISE
"['mother', 'victim', 'step', 'mother', 'went', 'land', 'property']",PREMISE
"['applicant', 'hold', 'hand', 'near', 'told', 'want', 'marry']",PREMISE
[],PREMISE
"['cousin', 'came']",PREMISE
"['thereby', 'modesty']",PREMISE
"['according', 'applicant', 'falsely', 'matter']",PREMISE
"['married', 'sister', 'victim', 'three', 'wedlock']",PREMISE
"['sister', 'victim', 'illicit', 'relationship', 'one']",PREMISE
"['therefore', 'quarrel', 'took', 'place', 'applicant', 'wife', 'caught', 'raid', 'handed']",PREMISE
"['wife', 'house', 'later', 'p', 'went', 'house', 'car', 'missing']",PREMISE
"['medical', 'treatment', 'wife', 'applicant', 'wife', 'distance']",PREMISE
"['family', 'wife', 'stopped', 'beat', 'wife']",PREMISE
['scuffle'],PREMISE
"['applicant', 'wooden', 'stick', 'iron', 'rod', 'gave', 'kick', 'fist']",PREMISE
"['incident', 'applicant', 'punishable', 'section', 'counter', 'blast', 'complaint', 'present', 'report', 'first', 'informant', 'defame', 'applicant']",PREMISE
[],PREMISE
"['permanent', 'resident', 'criminal']",PREMISE
"['family', 'depending']",PREMISE
"['due', 'punishable', 'section', 'section', 'apprehension', 'mind', 'arrest']",PREMISE
"['therefore', 'grant', 'protection', 'section']",CONCLUSION
"['application', 'ground', 'investigation', 'progress']",PREMISE
"['considering', 'relationship', 'applicant', 'pressurize', 'victim']",PREMISE
"['possibility', 'prosecution', 'evidence']",PREMISE
"['reject', 'application']",CONCLUSION
"['applicant', 'serious']",PREMISE
"['statement', 'victim', 'role', 'applicant']",PREMISE
"['doubt', 'cross', 'day', 'record']",PREMISE
"['according', 'applicant', 'due', 'filing', 'cross', 'falsely']",PREMISE
"['however', 'investigation', 'matter', 'going']",PREMISE
"['considering', 'relationship', 'every', 'possibility', 'prosecution', 'evidence', 'giving', 'threat', 'pressure', 'victim']",PREMISE
"['moreover', 'material', 'information', 'applicant']",PREMISE
"['therefore', 'proper', 'grant', 'protection', 'applicant', 'section', 'procedure']",CONCLUSION
"['due', 'application', 'following', 'order']",CONCLUSION
"['father', 'victim', 'aged', 'lodged', 'report', 'missing']",PREMISE
"['investigation', 'recording', 'statement', 'victim', 'revealed', 'victim', 'applicant', 'acquainted', 'friendship']",PREMISE
"['applicant', 'told', 'victim', 'want', 'marry', 'would', 'run', 'away']",PREMISE
"['applicant', 'took', 'victim', 'house', 'uncle', 'uncle']",PREMISE
"['applicant', 'sexual', 'intercourse', 'victim', 'pretext', 'marriage']",PREMISE
"['according', 'applicant', 'falsely', 'matter']",PREMISE
"['case', 'love', 'affair']",PREMISE
"['left', 'house']",PREMISE
"['old', 'age', 'sufficient', 'maturity']",PREMISE
"['old', 'labour', 'work']",PREMISE
"['earning', 'member', 'family']",PREMISE
['permanently'],PREMISE
['criminal'],PREMISE
"['ready', 'abide']",PREMISE
"['release', 'bail']",CONCLUSION
"['application', 'ground', 'investigation', 'progress']",PREMISE
"['statement', 'victim', 'section']",PREMISE
['yet'],PREMISE
"['sexual', 'intercourse', 'victim', 'pretext', 'marriage']",PREMISE
"['pressurize', 'victim']",PREMISE
"['possibility', 'prosecution', 'evidence']",PREMISE
"['reject', 'application']",CONCLUSION
"['applicant', 'serious']",PREMISE
['sufficiently'],PREMISE
"['statement', 'victim', 'role', 'applicant']",PREMISE
"['revealed', 'due', 'friendship', 'victim', 'applicant', 'went', 'away', 'house', 'uncle', 'applicant']",PREMISE
"['according', 'victim', 'applicant', 'marry', 'sexual', 'intercourse']",PREMISE
"['old', 'applicant', 'old']",PREMISE
"['age', 'sufficient', 'maturity', 'act']",PREMISE
"['statement', 'prosecutrix', 'love', 'relationship', 'went', 'temple', 'marriage', 'together', 'house', 'relative']",PREMISE
"['moreover', 'factor', 'e', 'age', 'prosecutrix', 'whether', 'act', 'violent', 'whether', 'whether', 'offender', 'capable', 'act', 'whether', 'likelihood', 'intimidation', 'boy', 'whether', 'chance', 'material', 'age', 'applicant', 'employment', 'plan', 'stabilize', 'secure', 'future', 'taken', 'consideration', 'bail', 'application', 'boy', 'minor', 'girl', 'love']",PREMISE
"['laid', 'ruling', 'noted']",PREMISE
"['medical', 'report', 'victim', 'gave', 'history', 'love', 'affair', 'sexual', 'intercourse', 'consent']",PREMISE
['body'],PREMISE
"['never', 'since', 'beginning']",PREMISE
[],PREMISE
"['moreover', 'investigation', 'practically']",PREMISE
"['personal', 'custody', 'applicant']",PREMISE
['criminal'],PREMISE
"['family', 'depending']",PREMISE
['permanently'],PREMISE
"['purpose', 'would', 'serve', 'keeping', 'applicant', 'behind', 'bar', 'unknown', 'period']",PREMISE
"['due', 'application', 'following', 'order']",CONCLUSION
"['prosecution', 'case', 'accused', 'complainant']",PREMISE
"['accordingly', 'complainant', 'transferred', 'said', 'amount']",PREMISE
"['thereafter', 'applicant', 'accused', 'made', 'demand', 'pour', 'acid', 'thereafter', 'accused', 'made', 'demand', 'sending']",PREMISE
"['learned', 'counsel', 'applicant', 'accused', 'applicant', 'accused', 'falsely']",PREMISE
"['death', 'husband', 'complainant', 'sister', 'domestic', 'dispute', 'took', 'place', 'said', 'matter', 'settled']",PREMISE
"['applicant', 'mother', 'cash', 'amount', 'complainant', 'sister']",PREMISE
"['triable', 'learned', 'court']",PREMISE
"['criminal', 'antecedent', 'applicant', 'accused']",PREMISE
"['custodial', 'interrogation', 'applicant', 'accused', 'necessary', 'therefore', 'anticipatory', 'bail']",CONCLUSION
"['hand', 'learned', 'statement', 'yet']",PREMISE
"['applicant', 'accused', 'anticipatory', 'bail', 'possibility', 'prosecution']",PREMISE
"['police', 'prima', 'basis', 'report', 'lodged', 'crime', 'came']",PREMISE
"['moreover', 'domestic', 'dispute', 'took', 'place', 'sister', 'accused', 'settled']",PREMISE
"['custodial', 'interrogation', 'applicant', 'accused', 'necessary']",PREMISE
"['therefore', 'view', 'imposing', 'e', 'investigation', 'present', 'applicant', 'accused', 'anticipatory', 'bail', 'prejudice', 'prosecution']",CONCLUSION
['application'],CONCLUSION
"['therefore', 'pass', 'following', 'order']",CONCLUSION
"['say', 'given', 'respondent']",PREMISE
"['learned', 'advocate', 'applicant', 'accused']",PREMISE
"['learned', 'advocate', 'accused', 'applicant', 'accused', 'present', 'case', 'falsely', 'present', 'crime', 'exchange', 'heat', 'moment']",PREMISE
"['accused', 'applicant', 'law', 'abiding', 'citizen']",PREMISE
"['ready', 'comply']",PREMISE
"['likelihood', 'getting', 'absconded', 'since', 'police', 'question', 'prosecution']",PREMISE
"['learned', 'question', 'serious', 'nature']",PREMISE
"['accused', 'taken', 'law', 'hand', 'public', 'servant', 'discharge', 'official', 'duty']",PREMISE
"['possibility', 'prosecution', 'evidence', 'repetition']",PREMISE
"['gone', 'investigation', 'produced', 'perusal']",PREMISE
"['informant', 'discharging', 'duty', 'public', 'servant', 'square', 'accused', 'crossed', 'zebra', 'crossing', 'informant', 'inquiring', 'applicant', 'accused']",PREMISE
"['regard', 'nature', 'crime', 'role', 'accused', 'applicant', 'age', 'applicant', 'period', 'behind', 'bar', 'find', 'purpose', 'would', 'keeping', 'accused', 'applicant', 'behind', 'bar']",PREMISE
"['far', 'apprehension', 'expressed', 'prosecution', 'applicant', 'accused', 'may', 'tamper', 'prosecution', 'evidence', 'possibility', 'less', 'informant', 'police', 'head', 'constable']",PREMISE
"['considering', 'material', 'record', 'pass', 'following', 'order']",CONCLUSION
"['nephew', 'beaten', 'without', 'reason']",PREMISE
"['therefore', 'went', 'seeking', 'clarification']",PREMISE
"['time', 'beating', 'stick']",PREMISE
"['time', 'son', 'nephew', 'tried', 'release', 'quarrel']",PREMISE
"['beaten', 'also']",PREMISE
"['due', 'assault', 'received', 'head', 'chest', 'left', 'hand']",PREMISE
[],PREMISE
"['therefore', 'modestly', 'also']",CONCLUSION
"['incident', 'son', 'nephew', 'also', 'received', 'head']",PREMISE
"['carried', 'lodged', 'report']",PREMISE
"['submit', 'incident']",PREMISE
"['fact', 'hot', 'exchange']",PREMISE
"['later', 'matter', 'resolved', 'amicably']",PREMISE
"['abundant', 'precaution', 'non', 'cognizable', 'police', 'station', 'may', 'file', 'complaint']",PREMISE
"['submit', 'present', 'take', 'revenge']",PREMISE
"['behind', 'since']",PREMISE
"['custody', 'necessary']",PREMISE
"['pray', 'grant', 'bail']",CONCLUSION
"['learned', 'report', 'investigation', 'officer']",PREMISE
"['sufficient', 'prima', 'material', 'available']",PREMISE
"['investigation', 'progress']",PREMISE
['criminal'],PREMISE
"['application', 'may']",CONCLUSION
"['learned', 'learned']",PREMISE
[],PREMISE
"['clearly', 'role', 'accused', 'applicant']",PREMISE
"['injury', 'son', 'nephew']",PREMISE
['received'],PREMISE
"['therefore', 'prima', 'material', 'available']",CONCLUSION
"['investigation', 'progress']",PREMISE
[],PREMISE
"['therefore', 'stage', 'discretion', 'used']",CONCLUSION
"['prefer', 'pass', 'following', 'order']",CONCLUSION
"['learned', 'applicant', 'applicant', 'role', 'play']",PREMISE
"['also', 'could', 'establish', 'since', 'one', 'applicant', 'lodged', 'thereafter', 'afterthought', 'present', 'came', 'lodged', 'professional', 'rivalry']",PREMISE
"['going', 'copy', 'evident', 'commercial', 'transaction', 'informant', 'accused']",PREMISE
"['son', 'former', 'personal', 'grounds', 'service', 'assigned']",PREMISE
"['consequently', 'applicant', 'disconnected', 'took', 'away']",PREMISE
"['however', 'taken', 'otherwise', 'commercial', 'dispute']",PREMISE
"['view', 'apprehension', 'mind', 'applicant', 'reasonable', 'ad', 'interim', 'protection', 'hearing']",PREMISE
['order'],CONCLUSION
"['mother', 'victim', 'aged', 'lodged', 'report', 'missing', 'applicant']",PREMISE
"['investigation', 'recording', 'statement', 'victim', 'revealed', 'victim', 'applicant', 'acquainted']",PREMISE
"['love', 'affair']",PREMISE
"['meeting', 'talking']",PREMISE
['marry'],PREMISE
"['mother', 'victim', 'gave', 'evasive']",PREMISE
