ARGUMENT,TYPE
"Suddenly all accused came near him carrying wooden sticks and accused Jitendera Jaiswal asked the Complainant that why you stopped after seeing us and you become arrogant and we will show you consequences and abused complainant and thereafter snatched his wallet containing Rs.5,000/­ and then caused damage to the Swift car of the complainant and also break the glass of other two four­wheelers and caused damage to three two­wheelers by wooden stick.",PREMISE
"Hence, Complainant called people for help, but they were threatened.",PREMISE
"Hence, complainant lodged complaint.",PREMISE
Accordingly this offence came to be registered.,PREMISE
Applicant came to be arrested on 27/11/2018.,PREMISE
Now he is in MCR.,PREMISE
3] Ld. Advocate for the applicant in his argument stated that applicant is innocent.,PREMISE
He has not committed any offence.,PREMISE
Offence is not punishable with death or life imprisonment.,PREMISE
Seven accused of this crime are already released on bail.,PREMISE
This applicant is entitled to be released on bail on the ground of parity.,PREMISE
There was delay in lodging complaint.,PREMISE
Investigation is almost completed.,PREMISE
His further detention in jail is not necessary.,PREMISE
"Hence, he may be released on bail.",CONCLUSION
4] Ld. APP strongly opposed this application.,PREMISE
It is her contention that applicant and his co­accused were armed with wooden rods.,PREMISE
"They created terror in the mind of complainant and robbed his wallet containing Rs.5,000/­.",PREMISE
They caused damage to four and two­wheelers of complainant and his tenant and other persons of that vicinity.,PREMISE
Investigation is not yet completed.,PREMISE
There is possibility of tampering the prosecution witnesses and evidence.,PREMISE
"Hence, this application may be rejected.",CONCLUSION
5] On the same day robbed cash amount was recovered from accused Jitendra Jaiswal.,PREMISE
Police already recovered wooden stumps from accused Ganesh Gaikwad.,PREMISE
Now nothing remained to be recovered or discovered from him.,PREMISE
Further detention of applicant is not necessary till filing of charge­sheet.,PREMISE
"Therefore, I pass the following order.",CONCLUSION
"It is alleged that victim aged about 18 years 5 months is lodged report against Sonu Tapkir stating that on 15/03/2018 and thereafter also, he committed forcible sexual intercourse with her from time to time in a car, as a result of which she became pregnant.",PREMISE
"During her supplementary statement dated 09/11/2018 she stated that in March 2018 she was preparing for examination in the house of her friend where other accused Vaibhav came, next day also other accused Vaibhav came to house of her friend Shraddha and her friend introduced victim with accused Vaibhav.",PREMISE
"Thereafter, at the instance of her friends, she, her friends went to house of accused Vaibhav.",PREMISE
Accused Vaibhav alone was in house.,PREMISE
Her friends went away.,PREMISE
"When she and accused Vaibhav were in house, his two friends including present applicant came along with liquor bottles and accused Vaibhav insisted her to drink though she refused.",PREMISE
Accused Vaibhav then committed forcible sexual intercourse with her.,PREMISE
"Thereafter, present applicant and other accused also committed forcible sexual intercourse with her one by one though she shouted.",PREMISE
3] According to applicant he is falsely implicated in this case.,PREMISE
In First Information Report there are no allegations against applicant.,PREMISE
There is total variance in First Information Report and supplementary statement of victim.,PREMISE
There is delay in lodging report.,PREMISE
His family members are depending on him.,PREMISE
He is not concerned with offence.,PREMISE
"He is reputed person and resident of Kharadi, Pune and has no criminal antecedents.",PREMISE
"Due to levelling of offences punishable under section 376 of the Indian Penal Code and under section 4, 8 of POCSO Act there is apprehension in his mind about the arrest.",PREMISE
"So, he prayed to grant protection under section 438 of Code of Criminal Procedure.",CONCLUSION
4] A.P.P. and I.O. objected application on the ground that investigation is in progress.,PREMISE
Applicant and other accused committed act of forcible sexual intercourse with victim one by one.,PREMISE
Medical examination of victim and applicant is to be conducted.,PREMISE
Statement of victim under Section 164 of Cr.,PREMISE
P. C. is yet not recorded.,PREMISE
Applicant was absconded and there is further possibility of absconding.,PREMISE
Protection under section 438 of Cr.P.C.,PREMISE
is not granted to co­accused.,PREMISE
Material information is to be gathered from applicant.,PREMISE
There is allegation of giving intoxicant to victim from Thumps­Up drink.,PREMISE
Investigation in that regard is going on.,PREMISE
DNA test of applicant is to be conducted.,PREMISE
Applicant and others are threatening victim and her family members.,PREMISE
"So, as investigation is going on they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
From First Information Report it revealed that there are allegations against one Sonu Tapkir.,PREMISE
But in supplementary statement victim narrated in detail about acts of present applicant and others.,PREMISE
It is alleged that other accused gave drink to victim mixed with intoxicant and then forcibly committed sexual intercourse with her.,PREMISE
Two friends of applicant i.e. present applicant and other accused also committed similar act with victim.,PREMISE
"Considering gravity of offence and allegations, material information is to be gathered from applicant.",PREMISE
Medical examinations are to be conducted.,PREMISE
"6] In this context Advocate of applicant relied on authority cited in Siddharam Satlingappa Mhetre Vs. State of Maharashtra reported in 2011 (1) SCC 694, in which it is observed that the Courts while considering the anticipatory bail application should try to maintain fine balance between the societal interest vis­a­vis prsonal liberty while adhering to the fundamental principle of criminal jurisprudence that the accused is presumed to be innocent till he is found guilty by the Competent Court.",PREMISE
7] Ratio laid down in above cited ruling is noted.,PREMISE
"So far as allegations are concerned alongwith medical examination, necessary information is to be gathered from applicant.",PREMISE
"Therefore, custodial interrogation with applicant is required.",CONCLUSION
In case in hand from supplementary statement of victim prima­facie involvement of applicant can be gathered.,PREMISE
Previously he was absconded.,PREMISE
He and his persons gave threats to victim and her family members.,PREMISE
There is further possibility of giving threat and pressure by applicant to victim and witnesses.,PREMISE
"Hence, considering gravity of offence and above reasons it is not proper to grant protection to applicant under section 438 of Code of Criminal procedure.",PREMISE
Due to above reasons application deserves to be rejected with following order ­,PREMISE
It is alleged that victim aged about 18 years 5 months lodged report stating that since March­2018 she was acquainted with applicant.,PREMISE
"They became friends, they were talking and meeting with each other.",PREMISE
On 22.03.2018 applicant proposed victim and told that he loves her.,PREMISE
"On 25.04.2018 applicant and his friend Sagar Darekar met victim, applicant asked victim to come with him at East Court in front of Finix Mall, they went there, did shopping and at 6.00 p.m. applicant left victim near her house.",PREMISE
"In evening at 6.30 p.m. again applicant made phone call to victim and asked her to go for wandering with him, applicant and his friend Sagar came, victim went with them.",PREMISE
Friend of victim also accompanied and they four went to Bhugaon for wandering.,PREMISE
"Due to late night, applicant and his friend Sagar asked victim and her friend to reside in house of Sagar.",PREMISE
"Victim and her friend refused but applicant and his friend took them from Car to Kharadi, Pune.",PREMISE
In the house of Sagar applicant and victim went in one bedroom and Sagar and friend of victim went in another bedroom.,PREMISE
In that bedroom applicant committed forcible sexual intercourse with victim under pretext of marriage.,PREMISE
Victim was aged about 17 years 8 months at relevant time.,PREMISE
"3] Then on 22.05.2018, 28.06.2018 applicant took victim for wandering and act of sexual intercourse was repeated from time to time.",PREMISE
"Thereafter, they resided in rented flat for one month since August­2018.",PREMISE
During that period applicant committed sexual intercourse with victim.,PREMISE
In October­2018 victim missed her menstrual period and it revealed that she was pregnant.,PREMISE
Applicant insisted her for abortion and by trusting his words she aborted.,PREMISE
Later on she repeatedly asked applicant for marriage but he avoided.,PREMISE
She learnt that applicant got married .,PREMISE
4] According to applicant he is falsely implicated in this case.,PREMISE
There is delay of 7 months in lodging report.,PREMISE
It is case of love affair.,PREMISE
"Applicant is pursuing his career and residing at Tal­Shirur, Dist­Pune.",PREMISE
He has no criminal antecedents.,PREMISE
"Due to levelling of offences punishable under section 376(2) (j), 376(2)(n) of Indian Penal Code and under section 4 and 8 of POCSO Act there is apprehension in his mind about his arrest.",PREMISE
He is ready to abide the condition.,PREMISE
"So, he prayed to grant protection under section 438 of Code of Criminal Procedure.",CONCLUSION
5] A.P.P. and I.O. strongly objected application on the ground that investigation is in progress.,PREMISE
Applicant did not co­operate in investigation.,PREMISE
His medical examination is to be conducted and vehicles are to be seized.,PREMISE
He will tamper prosecution evidence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
6] Allegations against the applicant are serious.,PREMISE
From recitals in First Information Report role attributed to applicant can be gathered.,PREMISE
As per First Information Report birth date of victim is 29.06.2000.,PREMISE
"Therefore, Advocate of applicant submitted that she has attended age of sufficient maturity, knows the consequences of act.",CONCLUSION
Only due to love affair she resided with applicant for about one month.,PREMISE
They were in living relationship and there was no force to the victim by applicant.,PREMISE
"6] In this context Advocate of applicant relied on orders in ­ i] Unreported Bail Application no.1507/17 Nayan Dattatray Falke Vs. State of Maharashtra, in which it is observed by Hon'ble Bombay High Court that if prosecutrix attended age of understanding and if it appears that she at her own free will had eloped with applicant, custodial interrogation was not required.",PREMISE
"Firstly, ad­interim protection was granted and then it was confirmed.",PREMISE
"ii] Unreported Bail Application no.27/14 Mahesh Balkrishna Dandane Vs. State of Maharashtra, in which it is observed that if it does not appear prima­facie that complainant was forced to keep sexual relationship or was really induced to such an extent that she has no other option but to keep physical relationship with applicant, consensual relationship cannot be denied.",PREMISE
"It is observed that even though there is bonafide promise to marry and girl chooses to keep physical relationship and boy withdraws his promise as they are not in psychologically comfortable with each other, it cannot bring particular act within purview of section 375 of Indian Penal Code.",PREMISE
In above cited matter also complainant was pregnant and it was observed that she may adopt legal recourse for the right of child.,PREMISE
It is her choice to be a mother or not.,PREMISE
7] Ratios laid down in above cited rulings are noted.,PREMISE
"Considering birth date of victim, prima­facie she has attended age of understanding.",PREMISE
She and applicant were meeting frequently.,PREMISE
"On 25.04.2018 at the time of first incident, victim and applicant separately went in one bedroom and then act was committed.",PREMISE
After first incident she did not complain and then act was repeated from time to time.,PREMISE
Victim resided with applicant for about one month in rented flat.,PREMISE
"If these facts are considered, considering age and future of the applicant, it is proper to grant protection in his favour.",PREMISE
Apprehension in his mind is reasonable.,PREMISE
"Considering nature of offence and grounds in police reply if strict conditions and attendance is given, it will suffice purpose.",PREMISE
These are no material grounds raised in reply.,PREMISE
There is no proper evidence to show that applicant committed breach of order with regard to material aspects.,PREMISE
"So, due to above reasons, mitigating circumstances, it is proper to grant protection to applicant with strict conditions.",CONCLUSION
"Therefore, following order is passed ­",CONCLUSION
"2] It is the case of prosecution that, Vignaharta Promoters and Builders is a partnership firm of Complainant, Nitin Atmaram More and Deepak Patil.",PREMISE
Complainant lodged complaint against three unknown persons that taking undue advantage of name of his partners Deepak Patil and Nitin More and their pan cards those persons made false and forged signaturres and without any authority to sell flats belonging to said partnership firm sold flats of that firm and on these flats raised loan of Rs.,PREMISE
One Crore from Indian Home Loan Company and accused no.3 Parag had opened account with Ganesh Co­operative Bank and transferred that loan amount in various bank accounts and mis­appropriated the loan amount and cheated and committed forgery of valuable security.,PREMISE
"Hence, Complainant­Jagannath Shephal lodged complaint.",PREMISE
"Accordingly, this offence came to be registered.",PREMISE
"Accused nos.1, 2, and 5 were arrested on 22/12/2018 and accused no.4 was arrested on 20/12/2018.",PREMISE
"Initialy, they were remadned in PC.",PREMISE
Now they are in MCR.,PREMISE
3] Advocate for applicants in his argument stated that all offences are triable by JMFC.,PREMISE
They are not punishable with death or life imprisonment.,PREMISE
Names of applicants are not mentioned in the FIR.,PREMISE
They have not caused wrongful loss to the Complainant.,PREMISE
Complainant was not benefited in the said transaction.,PREMISE
The concerned bank / financial institution did not file any complaint against them.,PREMISE
Amount was transferred in the account of Mr. Bachuwar.,PREMISE
"Only on the basis of inadmissible confessional statement given to the police by another accused, these applicants were arrested on suspicious.",PREMISE
Investigation is completed.,PREMISE
Further detention of the applicants is not necessary.,PREMISE
"Hence, they may be released on bail.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
It is her contention that these accused committed forgery in respect of valuable securities.,PREMISE
They had executed sale­deeds of those flats in favour of third person and raised loan against that flats.,PREMISE
"When online search was taken, this fact was revealed.",PREMISE
Accused nos.1 and 2 Umesh and Dashrath were remained present and pretended themselves to be owner of that flat at the time of execution of this false and fabricated sale­deeds.,PREMISE
Those title deeds were deposited and loan was raised.,PREMISE
Accused no.3 Parag Kulkarni opened the bank account with Ganesh Co­operative Bank and siphoned and transferred the loan amount and these applicants mis­appropriated that amount.,PREMISE
Investigation is not yet completed.,PREMISE
"will be released on bail, there is possibility of tampering the prosecution witnesses and evidence.",PREMISE
"Hence, these applications be rejected.",CONCLUSION
5] The offence is serious.,PREMISE
By doing cheating by personnation.,PREMISE
False and forged valuable securities were executed.,PREMISE
Those forged documents were used as genuine for raising loan amount.,PREMISE
"After raising loan amount of huge amount, it was siphoned / transferred in various accounts and mis­appropriated.",PREMISE
That amount is not yet recovered.,PREMISE
Investigation is not yet completed.,PREMISE
"At this juncture, if this applicant will be released on bail, further investigation will hamper and possibility of tampering prosecution witnesses cannot be ruled out.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
It is alleged that victim aged about 17 years lodged report stating that applicant is husband of her sister.,PREMISE
On 04.01.2019 she was alone in house.,PREMISE
"Her mother and sister went to Krishnai Hospital, Tandali, applicant came to her house and demanded hot water for bathing, she gave it.",PREMISE
"Then he asked her where her mother was, victim replied that her step mother Sunanda went in land property.",PREMISE
"Then applicant pulled her, hold her hand and pulled her near him and told that he want to marry with her.",PREMISE
She then shouted.,PREMISE
Her cousin came and rescued her.,PREMISE
Applicant thereby outraged her modesty.,PREMISE
"3] According to applicant, he is falsely implicated in this matter.",PREMISE
Applicant married with sister of victim and they have three children out of wedlock.,PREMISE
Sister of victim is having illicit relationship with one Vikas Memane.,PREMISE
"Therefore, quarrel took place between applicant and his wife as he caught her raid handed on 03.01.2019.",PREMISE
Applicant dropped his wife at her parents house but later on on 03.01.2019 at 5.00 p.m. he went to her parents house with car as children were missing her.,PREMISE
"On 04.01.2019 after medical treatment of wife of applicant he, his wife and children started travelling to Uruli Kanchan at the distance of 2 kms.",PREMISE
family members of his wife stopped them and asked why he beat his wife Ranuka.,PREMISE
There was scuffle between them.,PREMISE
"They assaulted applicant by means of wooden stick, iron rod, gave kick and fist blows.",PREMISE
"For that incident applicant filed First Information Report in Shirur Police Station for offences punishable under section 324,323,341,147,148,149,143 of the Indian Penal Code and to counter blast that complaint present report is filed by first informant only to defame applicant.",PREMISE
4] Applicant has not committed any offence as alleged.,PREMISE
"He is permanent resident of Haveli, Dist­Pune and has no criminal antecedents.",PREMISE
His family members are depending on him.,PREMISE
"Due to levelling of offences punishable under section 354 of Indian Penal Code and section 7,8 of POCSO Act there is apprehension in his mind about the arrest.",PREMISE
"Therefore, he prayed to grant him protection under section 438 of Code of Criminal Procedure.",CONCLUSION
5] APP and I.O. objected application on the ground that investigation is in progress.,PREMISE
Considering relationship applicant will pressurize victim and witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
6] Allegations against the applicant are serious.,PREMISE
From statement of victim role attributed to applicant can be gathered.,PREMISE
No doubt there are cross complaints and First Information Report of other offences on same day is filed on record.,PREMISE
According to applicant due to filing of cross complaints he is falsely implicated.,PREMISE
"However, it appears that investigation in this matter is going on.",PREMISE
Considering relationship there is every possibility of tampering prosecution evidence by giving threat and pressure to victim and witnesses.,PREMISE
"Moreover, material information is to be gathered from the applicant.",PREMISE
"Therefore, it is not proper to grant protection to applicant under section 438 of Code of Criminal procedure.",CONCLUSION
Due to above reasons application deserves to be rejected with following order ­,CONCLUSION
It is alleged that father of victim aged about 17 years lodged report of her missing.,PREMISE
"During investigation and after recording statement of victim, it revealed that victim and applicant were acquainted with each other and there was friendship between them.",PREMISE
On 26.12.2018 applicant told victim that he want to marry with her and they would run away.,PREMISE
Then applicant took victim at Karjat at the house of his uncle and they both resided with his uncle and aunti.,PREMISE
On 27.12.2018 applicant committed sexual intercourse with victim under pretext of marriage.,PREMISE
3] According to applicant he is falsely implicated in this matter.,PREMISE
It is a case of love affair.,PREMISE
Victim herself left the house.,PREMISE
Victim is more than 16 years old and attended age of sufficient maturity.,PREMISE
Applicant is 23 years old and doing labour work.,PREMISE
He is only earning member of family.,PREMISE
"He is permanently residing at Katraj Kondhawa Road, Pune.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP and I.O. objected this application on the ground that investigation is in progress.,PREMISE
Statement of victim under section 164 of Cr.P.C.,PREMISE
is yet not recorded.,PREMISE
Applicant committed sexual intercourse with victim under pretext of marriage.,PREMISE
Applicant will pressurize victim and witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
Applicant is sufficiently interrogated.,PREMISE
From statement of victim role attributed to applicant can be gathered.,PREMISE
It revealed that due to friendship victim and applicant went away and resided at Karjat in the house of uncle of applicant.,PREMISE
According to victim applicant promised to marry with her and committed sexual intercourse with her.,PREMISE
Victim is 17 years old and applicant is 23 years old.,PREMISE
Victim has attended age of sufficient maturity and knows the consequences of act.,PREMISE
"1712, in which it is observed that if statement of prosecutrix and witnesses shows that they were in love relationship with each other they eloped and went to temple and performed marriage, they started residing together in the house of relative then there are mitigating circumstances.",PREMISE
"Moreover, it is observed that factor i.e. age of prosecutrix, whether act is violent, whether there are antecedents or not, whether offender is capable of repeating the act or not, whether there is likelihood of threats or intimidation if at all the boy is released, whether chance of tampering with material witnesses and age of the applicant and his employment and plan, stabilize and secure his future are to be taken into consideration while deciding bail application, when boy and minor girl are in love with each other.",PREMISE
7] Ratio laid down in above cited ruling is noted.,PREMISE
In medical report victim gave history of love affair and sexual intercourse with consent.,PREMISE
There are no injuries on her body.,PREMISE
Victim never complained since beginning.,PREMISE
These are mitigating circumstances.,PREMISE
"Moreover, investigation is practically over.",PREMISE
Personal custody of applicant is not required.,PREMISE
He has no criminal antecedents.,PREMISE
His family members are depending on him.,PREMISE
"He is permanently, residing at Katraj Kondhawa Road, Pune.",PREMISE
No purpose would serve by keeping the applicant behind bar for unknown period.,PREMISE
Due to all above reasons application deserves to be allowed with following order ­,CONCLUSION
"Prosecution case is that on 16/08/2017, accused No.1­ Ajitsing threatened to the complainant ­Harmit B. Gurudatt and demanded Rs.1,58,000/­.",PREMISE
"Accordingly, complainant transferred the said amount.",PREMISE
"Thereafter, on 19/07/2017 and 20/09/2017, applicant/accused made demand of Rs.50,000/­ and threatened to pour acid on Jasprit Kaur, and thereafter on 22/11/2017, accused No.1 ­Ajitsingh made demand of Rs.10,000/­ by sending SMS.",PREMISE
"Learned counsel for applicant/accused submitted that applicant/accused has not committed any offence, and he has been falsely implicated in this offence.",PREMISE
"He further submitted that after death of husband of complainant's sister, there was domestic dispute took place, and the said matter was settled.",PREMISE
He further submitted that applicant No.1's mother paid cash amount of Rs. 10 lakh to the complainant's sister.,PREMISE
He further submitted that alleged offence is triable by learned JMFC court.,PREMISE
He further submitted that there is no criminal antecedent against applicant/accused.,PREMISE
"Custodial interrogation of the applicant/accused is not necessary, therefore, his anticipatory bail be granted.",CONCLUSION
"On the other hand, learned APP submitted that statement of Jasprit Kaur is yet to be recorded.",PREMISE
"If applicant/accused is released on anticipatory bail, there is possibility of pressurizing the prosecution witnesses.",PREMISE
"On perusing police papers, prima facie, it reveals that on the basis of report lodged by Harmit Gurudatt, a crime No.248/2017 came to be recorded at Market Yard Police Station.",PREMISE
"Moreover, it seems that there was some domestic dispute took place between Complainant's sister and accused persons and same was settled.",PREMISE
It appears that custodial interrogation of the applicant/accused is now not necessary.,PREMISE
"Therefore, in my view by imposing some conditions i.e. attending the Police Station and to cooperate the Investigating Officer in the investigation, if the present applicant ­accused is released on anticipatory bail, no prejudice will be caused to the prosecution.",CONCLUSION
"Hence, application deserves to be allowed.",CONCLUSION
"Therefore, I pass the following order.",CONCLUSION
[2] Perused the say given by respondent at Exh.4.,PREMISE
Heard learned advocate Mr. Lengare for the applicant / accused and APP Mr. Aurangabadkar for the State.,PREMISE
"[3] The learned advocate for the accused / applicant argued that the accused in the present case is falsely implicated in the present crime, as there was exchange of words in a heat of moment.",PREMISE
He further submitted that accused / applicant is law abiding citizen.,PREMISE
He is ready to comply the conditions imposed.,PREMISE
"There is no likelihood of his getting absconded and since the witnesses are police officers, there is no question of tampering with the prosecution witnesses.",PREMISE
[4] The learned APP argued that the offence in question is serious in nature.,PREMISE
The accused has taken law in his hand and assaulted the public servant in discharge of his official duty.,PREMISE
He submitted that there is possibility of tampering with the prosecution evidence and repetition of the offence.,PREMISE
[5] I have gone through the FIR and the investigation papers produced for my perusal.,PREMISE
"It is alleged that when the informant Police Head Constable Manisha Londhe was discharging duty as public servant at Ambedkar square, the accused crossed the zebra crossing and when the informant was inquiring with him, applicant / accused assaulted her.",PREMISE
